ticker,market_cap,sector,industry,meta_updated_at
SRF.NS,757780381696.0,Industrials,Conglomerates,2026-03-25
SAGILITY.NS,186738196480.0,Healthcare,Health Information Services,2026-03-25
SAILIFE.NS,210752110592.0,Healthcare,Diagnostics & Research,2026-03-25
SAMMAANCAP.NS,120128577536.0,Financial Services,Mortgage Finance,2026-03-25
MOTHERSON.NS,1211016675328.0,Consumer Cyclical,Auto Parts,2026-03-25
SAPPHIRE.NS,51339702272.0,Consumer Cyclical,Restaurants,2026-03-25
SARDAEN.NS,183625875456.0,Basic Materials,Steel,2026-03-25
SAREGAMA.NS,64855678976.0,Communication Services,Entertainment,2026-03-25
SCHAEFFLER.NS,636155920384.0,Consumer Cyclical,Auto Parts,2026-03-25
SCHNEIDER.NS,215169728512.0,Industrials,Electrical Equipment & Parts,2026-03-25
SCI.NS,109858701312.0,Industrials,Marine Shipping,2026-03-25
SHREECEM.NS,868644028416.0,Basic Materials,Building Materials,2026-03-25
SHRIRAMFIN.NS,1795354132480.0,Financial Services,Credit Services,2026-03-25
SHYAMMETL.NS,225740619776.0,Basic Materials,Steel,2026-03-25
ENRIN.NS,973882720256.0,Utilities,Utilities - Renewable,2026-03-25
SIEMENS.NS,1103973580800.0,Industrials,Specialty Industrial Machinery,2026-03-25
SIGNATURE.NS,107631190016.0,Real Estate,Real Estate - Development,2026-03-25
SOBHA.NS,131875381248.0,Real Estate,Real Estate - Development,2026-03-25
SOLARINDS.NS,1178180517888.0,Basic Materials,Specialty Chemicals,2026-03-25
SONACOMS.NS,321308295168.0,Consumer Cyclical,Auto Parts,2026-03-25
SONATSOFTW.NS,63807320064.0,Technology,Information Technology Services,2026-03-25
STARHEALTH.NS,272458891264.0,Financial Services,Insurance - Life,2026-03-25
SBIN.NS,9821377003520.0,Financial Services,Banks - Regional,2026-03-25
SAIL.NS,615200456704.0,Basic Materials,Steel,2026-03-25
SUMICHEM.NS,192121192448.0,Basic Materials,Agricultural Inputs,2026-03-25
SUNPHARMA.NS,4292410081280.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
SUNTV.NS,241613258752.0,Communication Services,Broadcasting,2026-03-25
SUNDARMFIN.NS,526046789632.0,Financial Services,Credit Services,2026-03-25
SUNDRMFAST.NS,169899294720.0,Consumer Cyclical,Auto Parts,2026-03-25
SUPREMEIND.NS,492365676544.0,Industrials,Building Products & Equipment,2026-03-25
SUZLON.NS,585760309248.0,Industrials,Specialty Industrial Machinery,2026-03-25
SWANCORP.NS,104231641088.0,Industrials,Conglomerates,2026-03-25
SWIGGY.NS,713124741120.0,Consumer Cyclical,Internet Retail,2026-03-25
SYNGENE.NS,169396256768.0,Healthcare,Diagnostics & Research,2026-03-25
SYRMA.NS,157842276352.0,Technology,Electronic Components,2026-03-25
TBOTEK.NS,117531762688.0,Consumer Cyclical,Travel Services,2026-03-25
TVSMOTOR.NS,1692993454080.0,Consumer Cyclical,Auto Manufacturers,2026-03-25
TATACHEM.NS,160623837184.0,Basic Materials,Chemicals,2026-03-25
TATACOMM.NS,413107486720.0,Communication Services,Telecom Services,2026-03-25
TCS.NS,8728273747968.0,Technology,Information Technology Services,2026-03-25
TATACONSUM.NS,1049773408256.0,Consumer Defensive,Packaged Foods,2026-03-25
TATAELXSI.NS,264399601664.0,Technology,Software - Application,2026-03-25
TATAINVEST.NS,301927432192.0,Financial Services,Asset Management,2026-03-25
TMPV.NS,1177440223232.0,Consumer Cyclical,Auto Manufacturers,2026-03-25
TATAPOWER.NS,1250016886784.0,Utilities,Utilities - Independent Power Producers,2026-03-25
TATASTEEL.NS,2438994591744.0,Basic Materials,Steel,2026-03-25
TATATECH.NS,221705306112.0,Technology,Information Technology Services,2026-03-25
TTML.NS,69271470080.0,Communication Services,Telecom Services,2026-03-25
TECHM.NS,1260431212544.0,Technology,Information Technology Services,2026-03-25
TECHNOE.NS,125836140544.0,Industrials,Engineering & Construction,2026-03-25
TEJASNET.NS,75656151040.0,Technology,Communication Equipment,2026-03-25
NIACL.NS,210790121472.0,Financial Services,Insurance - Diversified,2026-03-25
RAMCOCEM.NS,219940945920.0,Basic Materials,Building Materials,2026-03-25
THERMAX.NS,366332739584.0,Industrials,Conglomerates,2026-03-25
TIMKEN.NS,246982262784.0,Industrials,Tools & Accessories,2026-03-25
TITAGARH.NS,85457231872.0,Industrials,Railroads,2026-03-25
TITAN.NS,3628369707008.0,Consumer Cyclical,Luxury Goods,2026-03-25
TORNTPHARM.NS,1460222820352.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
TORNTPOWER.NS,708891574272.0,Utilities,Utilities - Independent Power Producers,2026-03-25
TARIL.NS,85607292928.0,Industrials,Electrical Equipment & Parts,2026-03-25
TRENT.NS,1250178367488.0,Consumer Cyclical,Apparel Retail,2026-03-25
TRIDENT.NS,129567924224.0,Consumer Cyclical,Textile Manufacturing,2026-03-25
TRIVENI.NS,86279045120.0,Consumer Defensive,Confectioners,2026-03-25
TRITURBINE.NS,144831610880.0,Industrials,Specialty Industrial Machinery,2026-03-25
TIINDIA.NS,513590853632.0,Industrials,Conglomerates,2026-03-25
UCOBANK.NS,309811970048.0,Financial Services,Banks - Regional,2026-03-25
UNOMINDA.NS,633478381568.0,Consumer Cyclical,Auto Parts,2026-03-25
UPL.NS,527922200576.0,Basic Materials,Agricultural Inputs,2026-03-25
UTIAMC.NS,124707487744.0,Financial Services,Asset Management,2026-03-25
ULTRACEMCO.NS,3277097009152.0,Basic Materials,Building Materials,2026-03-25
UNIONBANK.NS,1389524942848.0,Financial Services,Banks - Regional,2026-03-25
UBL.NS,428838715392.0,Consumer Defensive,Beverages - Brewers,2026-03-25
UNITDSPR.NS,953404751872.0,Consumer Defensive,Beverages - Wineries & Distilleries,2026-03-25
USHAMART.NS,125444177920.0,Basic Materials,Steel,2026-03-25
VGUARD.NS,144299180032.0,Industrials,Electrical Equipment & Parts,2026-03-25
DBREALTY.NS,52743634944.0,Real Estate,Real Estate - Development,2026-03-25
VTL.NS,155349352448.0,Consumer Cyclical,Textile Manufacturing,2026-03-25
VBL.NS,1372622946304.0,Consumer Defensive,Beverages - Non-Alcoholic,2026-03-25
MANYAVAR.NS,86413385728.0,Consumer Cyclical,Apparel Manufacturing,2026-03-25
VEDL.NS,2611635027968.0,Basic Materials,Other Industrial Metals & Mining,2026-03-25
VENTIVE.NS,146243764224.0,Consumer Cyclical,Lodging,2026-03-25
VIJAYA.NS,92216025088.0,Healthcare,Diagnostics & Research,2026-03-25
VMM.NS,507780988928.0,Consumer Cyclical,Department Stores,2026-03-25
IDEA.NS,985921617920.0,Communication Services,Telecom Services,2026-03-25
VOLTAS.NS,448878215168.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2026-03-25
WAAREEENER.NS,913288658944.0,Technology,Solar,2026-03-25
WELCORP.NS,220351004672.0,Basic Materials,Steel,2026-03-25
WELSPUNLIV.NS,110239039488.0,Consumer Cyclical,Textile Manufacturing,2026-03-25
WHIRLPOOL.NS,101986844672.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2026-03-25
WIPRO.NS,1995009425408.0,Technology,Information Technology Services,2026-03-25
WOCKPHARMA.NS,195884318720.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
YESBANK.NS,581153128448.0,Financial Services,Banks - Regional,2026-03-25
ZFCVINDIA.NS,257029734400.0,Consumer Cyclical,Auto Parts,2026-03-25
ZEEL.NS,72922636288.0,Communication Services,Broadcasting,2026-03-25
ZENTEC.NS,124102057984.0,Industrials,Aerospace & Defense,2026-03-25
ZENSARTECH.NS,124783190016.0,Technology,Information Technology Services,2026-03-25
ZYDUSLIFE.NS,914413191168.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
ECLERX.NS,139309924352.0,Technology,Information Technology Services,2026-03-25
